mean,std_val,rms,p2p,kurtosis,skew,energy,iqr,abs_mean,median,zcr,crest_factor,variance,max_abs,min_abs,label,source_file
0.9467,0.6670471,1.1580988,3.863,5.400171,-1.6556442,67.05964,0.6885,1.0609,0.987,0.12,0.5790494,0.44495186,2.0,0.04,1,Dataset_Smooth.csv
0.89406,0.53983176,1.0443953,3.604,13.433081,-3.0452347,54.53808,0.13025,0.98914,1.028,0.08,0.5605987,0.29141828,1.863,0.04,1,Dataset_Smooth.csv
1.01636,0.52393585,1.1434581,2.42,1.3142225,-0.47878316,65.374825,0.16725,1.04812,1.029,0.08,0.57172906,0.2745088,2.0,0.036,1,Dataset_Smooth.csv
1.08386,0.5197814,1.2020504,2.42,1.599175,-0.7054775,72.24626,0.478,1.11562,1.0325,0.08,0.6010252,0.27017272,2.0,0.036,1,Dataset_Smooth.csv
1.10272,0.41176167,1.1770892,1.954,0.29738334,0.118741244,69.276955,0.5105,1.10272,1.0325,0.0,0.5885446,0.16954768,2.0,0.046,1,Dataset_Smooth.csv
0.9829,0.7304023,1.2245734,2.7,-0.77861243,-0.2438079,74.979,1.2465,1.04802,0.909,0.08,0.6122867,0.53348756,2.0,0.035,1,Dataset_Smooth.csv
0.937,0.62702584,1.1274441,2.7,0.37822777,-0.40377554,63.55652,0.4955,1.00212,1.028,0.08,0.5637221,0.3931614,2.0,0.035,1,Dataset_Smooth.csv
1.02832,0.45433977,1.1242182,2.253,0.95664376,-0.50620204,63.193333,0.40475,1.03896,1.0305,0.08,0.5621091,0.20642462,2.0,0.013,1,Dataset_Smooth.csv
1.0143,0.7458805,1.2590243,2.973,-0.061345585,-0.6214596,79.25711,1.03475,1.1049,1.0665,0.2,0.62951213,0.5563377,2.0,0.013,1,Dataset_Smooth.csv
1.01944,0.6249005,1.1957251,2.973,2.2158906,-0.8488031,71.48793,0.1215,1.0994,1.026,0.1,0.59786254,0.3905007,2.0,0.093,1,Dataset_Smooth.csv
1.03184,0.29845732,1.0741371,1.845,2.5261612,-0.1417827,57.688526,0.15125,1.03184,1.0285,0.0,0.53706855,0.08907677,2.0,0.155,1,Dataset_Smooth.csv
0.99118,0.33039078,1.0447947,1.391,0.14285925,-0.74917495,54.579792,0.3585,0.99118,1.0325,0.0,0.6758051,0.10915807,1.546,0.155,1,Dataset_Smooth.csv
1.00416,0.6320185,1.186501,3.074,1.6856314,-0.78291553,70.38924,0.568,1.07228,1.031,0.08,0.5932505,0.39944738,2.0,0.004,1,Dataset_Smooth.csv
1.02836,0.7375383,1.2654988,3.227,1.5747122,-1.0220871,80.07435,0.85925,1.14556,1.0355,0.12,0.6327494,0.5439627,2.0,0.004,1,Dataset_Smooth.csv
1.0172,0.46217918,1.117276,3.227,10.528686,-1.9978162,62.41527,0.22925,1.06628,1.0325,0.04,0.558638,0.2136096,2.0,0.292,1,Dataset_Smooth.csv
0.9555,0.40897542,1.0393465,2.007,1.0466027,0.16337377,54.01206,0.2975,0.95602,1.0255,0.04,0.52123696,0.16726089,1.994,0.013,1,Dataset_Smooth.csv
0.9436,0.45657727,1.0482575,2.007,0.5842727,0.21904227,54.94219,0.283,0.94412,0.9685,0.04,0.5257059,0.2084628,1.994,0.013,1,Dataset_Smooth.csv
1.0187,0.41805804,1.1011459,2.62,4.680054,-1.2009777,60.62611,0.252,1.04474,1.029,0.04,0.5592412,0.17477253,1.969,0.04,1,Dataset_Smooth.csv
0.97912,0.42922124,1.0690682,2.469,6.484462,-1.7750152,57.145344,0.16825,1.02936,1.0275,0.08,0.5880463,0.18423086,1.818,0.563,1,Dataset_Smooth.csv
0.9277,0.40615284,1.012713,2.605,4.552606,-0.93010116,51.27937,0.2545,0.95698,1.0245,0.08,0.5063565,0.16496013,2.0,0.127,1,Dataset_Smooth.csv
1.03598,0.43679604,1.1242977,2.127,0.6872411,0.09971472,63.202267,0.31475,1.04106,1.027,0.04,0.56214887,0.19079077,2.0,0.127,1,Dataset_Smooth.csv
0.89856,0.7106268,1.1456004,3.855,3.812826,-1.484698,65.620026,0.4535,1.04896,1.025,0.12,0.5728002,0.5049904,2.0,0.125,1,Dataset_Smooth.csv
0.83666,0.7121941,1.0987358,3.855,3.1616192,-1.3703294,60.361015,0.67375,0.98706,1.0195,0.12,0.5493679,0.5072204,2.0,0.039,1,Dataset_Smooth.csv
0.97642,0.66380465,1.1806916,3.106,0.6865055,-0.8018646,69.70163,0.8235,1.04118,1.031,0.12,0.5903458,0.44063663,2.0,0.033,1,Dataset_Smooth.csv
1.03436,0.7383825,1.2708695,3.106,0.08462901,-0.59812653,80.75547,1.04375,1.11328,1.1055,0.14,0.63543475,0.54520875,2.0,0.033,1,Dataset_Smooth.csv
1.0667,0.47155133,1.1662803,2.354,1.603545,0.22350232,68.010475,0.18175,1.08086,1.0285,0.04,0.58314013,0.22236066,2.0,0.116,1,Dataset_Smooth.csv
